F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S g4rb3n      1285     893  0  80   0 - 80253 poll_s 02:53 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
0 S g4rb3n      1325     836  0  80   0 - 169690 poll_s 02:53 ?       00:01:32 /usr/bin/vmtoolsd -n vmusr --blockFd 3
0 S g4rb3n      1334     836  0  80   0 - 86352 poll_s 02:53 ?        00:00:00 /usr/libexec/gsd-printer
0 S g4rb3n      1374    1156  0  80   0 - 42461 poll_s 02:53 ?        00:00:01 /usr/libexec/ibus-engine-simple
4 S colord      1398       1  0  80   0 - 63067 poll_s 02:53 ?        00:00:00 /usr/libexec/colord
0 S g4rb3n      1470    1156  0  80   0 - 62083 poll_s 02:53 ?        00:00:00 /usr/lib/ibus/ibus-engine-libpinyin --ibus
0 S g4rb3n      1497    1120  0  80   0 - 116952 poll_s 02:54 ?       00:00:05 update-notifier
0 S g4rb3n      1553     836  0  80   0 - 264424 poll_s 02:58 ?       00:00:21 /usr/libexec/gnome-terminal-server
0 S g4rb3n      1565    1553  0  80   0 -  3519 do_wai 02:58 pts/0    00:00:00 bash
4 S root        5077       1  0  80   0 - 66207 poll_s 05:06 ?        00:00:01 python3 /usr/lib/software-properties/software-properties-dbus
